"id";"name";"category";"parent"
1;"Featured Tours and Tickets";1;0
2;"Local Experiences";1;0
3;"Recommended Experiences";1;0
4;"Air, Helicopter & Balloon Tours";1;0
5;"Cruises, Sailing & Water Tours";1;0
6;"Cultural & Theme Tours";1;0
7;"Day Trips & Excursions";1;0
8;"Food, Wine & Nightlife";1;0
9;"Sightseeing Tickets & Passes";1;0
10;"Outdoor Activities";1;0
11;"Shopping & Fashion";1;0
12;"Shows, Concerts & Sports";1;0
13;"Tours & Sightseeing";1;0
14;"Theme Parks";1;0
15;"Transfers & Ground Transport";1;0
16;"Walking & Biking Tours";1;0
17;"Water Sports";1;0
18;"Weddings & Honeymoons";1;0
19;"Family Friendly";1;0
20;"Shore Excursions";1;0
21;"Multi-day & Extended Tours";1;0
22;"Luxury & Special Occasions";1;0
23;"Private & Custom Tours";1;0
24;"Spa Tours";1;0
25;"Classes & Workshops";1;0
26;"Sights & Landmarks";2;0
27;"Spas & Wellness";2;0
28;"Nature & Parks";2;0
29;"Museums";2;0
30;"Nightlife";2;0
31;"Water & Amusement Parks";2;0
32;"Fun & Games";2;0
33;"Cooking Class";1;2
34;"Cultural Tour";1;2
35;"Local Multi-day Tours";1;2
36;"Painting Classes";1;2
37;"Vietnamese Cooking Classes in Hoi An";1;3
38;"3 Days in Hoi An: Suggested Itineraries";1;3
39;"Top Day Trips from Hoi An";1;3
40;"Air Tours";1;4
41;"Day Cruises";1;5
42;"Sailing Trips";1;5
43;"Sunset Cruises";1;5
44;"Lunch Cruises";1;5
45;"Duck Tours";1;5
46;"Cultural Tours";1;6
47;"Historical & Heritage Tours";1;6
48;"Literary, Art & Music Tours";1;6
49;"Architecture Tours";1;6
50;"Ghost & Vampire Tours";1;6
51;"Archaeology Tours";1;6
52;"Day Trips";1;7
53;"Rail Tours";1;7
54;"Private Day Trips";1;7
55;"Bar, Club & Pub Tours";1;8
56;"Cooking Classes";1;8
57;"Dining Experiences";1;8
58;"Wine Tasting & Winery Tours";1;8
59;"Beer & Brewery Tours";1;8
60;"Food Tours";1;8
61;"Nightlife";1;8
62;"Coffee & Tea Tours";1;8
63;"Attraction Tickets";1;9
64;"Sightseeing Passes";1;9
65;"Museum Tickets & Passes";1;9
66;"Eco Tours";1;10
67;"4WD, ATV & Off-Road Tours";1;10
